                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8753,                0.26306,                0.50872,                0.25175,                 0.1043,                0.05044,                0.02261,                 1.1093,                0.60211,                 0.1941,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.4051,                0.49651,                0.32536,                0.42838,                 0.1469,                0.17899,                 0.1079,                 0.9332,                0.61666,                 0.1562,                 0.0001,                 0.0001,                 0.0001
                      3,                 1.3017,                0.49825,                 0.2848,                 0.4211,                0.18692,                0.19717,                0.11057,                0.85917,                0.60576,                0.13609,                 0.0001,                 0.0001,                 0.0001
                      4,                 1.2265,                0.50363,                0.25642,                0.41686,                0.22236,                0.22002,                0.12542,                0.80711,                0.60337,                0.12151,                 0.0001,                 0.0001,                 0.0001
                      5,                 1.1878,                0.50229,                0.24475,                0.37974,                0.24831,                0.24189,                0.14008,                0.77929,                0.60119,                0.11675,                 0.0001,                 0.0001,                 0.0001
                      6,                  1.149,                0.50412,                0.22885,                0.38133,                0.26211,                0.25114,                0.14676,                0.76206,                0.60259,                0.11199,                 0.0001,                 0.0001,                 0.0001
                      7,                 1.1175,                0.50373,                0.21567,                0.38498,                0.27384,                0.26284,                0.15457,                0.75145,                0.60007,                0.11018,                 0.0001,                 0.0001,                 0.0001
                      8,                 1.0916,                 0.5049,                0.21165,                0.39477,                 0.2819,                0.27424,                0.16221,                0.73989,                0.59927,                0.10754,                 0.0001,                 0.0001,                 0.0001
                      9,                 1.0786,                0.50434,                0.20735,                0.40858,                0.29154,                0.28485,                0.16931,                0.72713,                0.59697,                0.10445,                 0.0001,                 0.0001,                 0.0001
                     10,                 1.0676,                0.50028,                0.20143,                0.42822,                0.30031,                0.29839,                0.17873,                0.71606,                0.59559,                0.10256,                 0.0001,                 0.0001,                 0.0001
                     11,                 1.0466,                0.50458,                0.19091,                0.43213,                0.30943,                0.30993,                0.18607,                0.70513,                0.59222,                0.09955,                 0.0001,                 0.0001,                 0.0001
                     12,                 1.0236,                0.50481,                0.18544,                0.43793,                0.31672,                 0.3191,                0.19253,                0.69446,                0.59109,                0.09669,                 0.0001,                 0.0001,                 0.0001
                     13,                 1.0282,                0.50139,                0.18723,                0.44673,                0.32727,                0.33014,                0.19962,                0.68637,                0.58946,                0.09493,                 0.0001,                 0.0001,                 0.0001
                     14,                 1.0045,                0.50392,                0.18087,                0.45679,                0.33669,                  0.341,                0.20622,                0.67789,                0.58818,                0.09285,                 0.0001,                 0.0001,                 0.0001
                     15,                 1.0038,                0.49842,                0.17617,                0.48514,                0.34442,                0.35182,                0.21275,                 0.6689,                0.58646,                0.09056,                 0.0001,                 0.0001,                 0.0001
                     16,                 0.9828,                0.50386,                  0.173,                0.49438,                0.35128,                0.36251,                0.22037,                0.66151,                0.58447,                0.08827,                 0.0001,                 0.0001,                 0.0001
                     17,                0.97471,                  0.501,                0.16837,                0.50463,                0.35576,                0.36961,                0.22445,                0.65415,                 0.5831,                 0.0864,                 0.0001,                 0.0001,                 0.0001
                     18,                 0.9716,                0.50053,                0.16949,                0.51228,                0.36352,                0.37907,                0.23103,                0.64704,                0.58106,                0.08429,                 0.0001,                 0.0001,                 0.0001
                     19,                0.96259,                0.50018,                0.16698,                0.52657,                0.37191,                0.38701,                0.23654,                0.64175,                0.57899,                0.08294,                 0.0001,                 0.0001,                 0.0001
                     20,                0.96048,                0.49876,                0.16289,                 0.5288,                0.38076,                0.39648,                0.24295,                0.63553,                0.57744,                0.08128,                 0.0001,                 0.0001,                 0.0001
                     21,                0.94791,                0.50162,                 0.1646,                0.53209,                0.38939,                0.40509,                0.24826,                0.62874,                 0.5767,                0.07974,                 0.0001,                 0.0001,                 0.0001
                     22,                 0.9468,                0.49796,                0.16296,                0.54481,                0.39477,                 0.4124,                0.25266,                0.62448,                0.57657,                0.07828,                 0.0001,                 0.0001,                 0.0001
                     23,                0.94932,                0.49813,                 0.1653,                0.54849,                0.39779,                0.41519,                0.25413,                0.62256,                 0.5746,                0.07839,                 0.0001,                 0.0001,                 0.0001
                     24,                0.93592,                0.49762,                0.15719,                0.55691,                0.40423,                0.42106,                0.25864,                0.61864,                0.57267,                0.07716,                 0.0001,                 0.0001,                 0.0001
                     25,                0.92427,                0.49999,                0.15468,                 0.5615,                0.41108,                0.42608,                0.26198,                0.61464,                0.57317,                 0.0765,                 0.0001,                 0.0001,                 0.0001
                     26,                0.91541,                0.49937,                0.15161,                0.56413,                0.41737,                 0.4332,                0.26594,                0.61055,                 0.5714,                0.07545,                 0.0001,                 0.0001,                 0.0001
                     27,                0.91091,                0.49913,                0.14945,                0.56578,                0.42749,                0.43928,                0.26929,                0.60789,                0.57096,                0.07533,                 0.0001,                 0.0001,                 0.0001
                     28,                0.91855,                0.49425,                0.15285,                0.56754,                0.43217,                0.44413,                0.27237,                0.60426,                0.57017,                0.07444,                 0.0001,                 0.0001,                 0.0001
                     29,                0.90306,                 0.4982,                0.15059,                0.57009,                0.43523,                0.44815,                0.27515,                0.60116,                0.57012,                0.07337,                 0.0001,                 0.0001,                 0.0001
                     30,                0.89904,                0.49846,                0.14908,                0.57172,                0.43968,                0.45315,                0.27911,                0.59826,                 0.5686,                0.07263,                 0.0001,                 0.0001,                 0.0001
                     31,                0.89732,                0.49868,                0.14799,                0.58108,                 0.4395,                0.45718,                0.28257,                0.59507,                 0.5677,                0.07228,                 0.0001,                 0.0001,                 0.0001
                     32,                 0.8897,                0.49732,                0.14736,                0.58064,                0.44482,                0.46068,                0.28474,                0.59234,                0.56745,                0.07164,                 0.0001,                 0.0001,                 0.0001
                     33,                0.88804,                0.49632,                0.14593,                0.58957,                0.44786,                 0.4665,                0.28887,                0.58925,                0.56686,                0.07096,                 0.0001,                 0.0001,                 0.0001
                     34,                0.87827,                0.49752,                0.13939,                0.59248,                0.45326,                0.47156,                0.29224,                0.58886,                0.56512,                0.07226,                 0.0001,                 0.0001,                 0.0001
                     35,                0.88128,                0.49531,                0.14296,                0.59688,                0.45337,                0.47496,                0.29426,                0.58654,                0.56405,                0.07161,                 0.0001,                 0.0001,                 0.0001
                     36,                0.88562,                0.49497,                0.14493,                0.60131,                0.45326,                0.47567,                0.29506,                0.58443,                0.56405,                  0.071,                 0.0001,                 0.0001,                 0.0001
                     37,                0.87914,                0.49558,                0.14261,                0.60656,                0.45961,                0.47778,                0.29645,                0.58213,                0.56476,                0.07021,                 0.0001,                 0.0001,                 0.0001
                     38,                0.86736,                0.49491,                 0.1388,                0.60771,                0.46292,                0.48205,                0.29969,                0.57895,                0.56476,                0.06964,                 0.0001,                 0.0001,                 0.0001
                     39,                0.86019,                0.49842,                0.13664,                0.60856,                0.46515,                0.48378,                0.30093,                0.57732,                0.56373,                0.06891,                 0.0001,                 0.0001,                 0.0001
                     40,                0.86786,                0.49367,                0.13934,                 0.6064,                0.46895,                0.48589,                0.30164,                0.57493,                0.56407,                0.06838,                 0.0001,                 0.0001,                 0.0001
                     41,                0.85664,                0.49748,                0.13533,                0.60875,                0.47061,                0.48686,                0.30231,                0.57417,                0.56376,                0.06795,                 0.0001,                 0.0001,                 0.0001
                     42,                0.85453,                0.49662,                0.13487,                0.60896,                0.47228,                 0.4882,                  0.303,                0.57223,                0.56302,                0.06733,                 0.0001,                 0.0001,                 0.0001
                     43,                0.85773,                0.49508,                0.13444,                0.60867,                0.47502,                0.49018,                0.30398,                0.57167,                0.56221,                0.06772,                 0.0001,                 0.0001,                 0.0001
                     44,                0.84687,                0.49573,                0.13273,                0.61645,                0.47813,                0.49433,                0.30635,                0.56991,                0.56216,                0.06697,                 0.0001,                 0.0001,                 0.0001
                     45,                0.85452,                0.49317,                0.13496,                0.61655,                0.47707,                0.49614,                0.30807,                0.56881,                0.56128,                0.06667,                 0.0001,                 0.0001,                 0.0001
                     46,                0.84276,                0.49569,                0.13074,                 0.6162,                0.47864,                 0.4972,                0.30847,                 0.5664,                0.56133,                 0.0663,                 0.0001,                 0.0001,                 0.0001
                     47,                0.83771,                0.49427,                0.12839,                0.61658,                0.47686,                0.49786,                0.31007,                0.56453,                0.56028,                0.06596,                 0.0001,                 0.0001,                 0.0001
                     48,                0.84166,                 0.4942,                0.12993,                0.62175,                0.47745,                0.50015,                0.31134,                0.56271,                0.56139,                0.06543,                 0.0001,                 0.0001,                 0.0001
                     49,                0.83202,                0.49455,                0.12903,                0.62611,                0.47976,                0.50208,                0.31291,                0.56153,                0.56041,                0.06525,                 0.0001,                 0.0001,                 0.0001
                     50,                0.84236,                0.49313,                0.13003,                0.62525,                0.48257,                0.50375,                0.31424,                0.55993,                0.56019,                0.06461,                 0.0001,                 0.0001,                 0.0001
                     51,                0.83151,                0.49483,                0.13008,                0.62472,                0.48651,                0.50541,                0.31566,                0.55724,                0.56183,                0.06382,                 0.0001,                 0.0001,                 0.0001
                     52,                0.83496,                0.49297,                0.12934,                0.62241,                0.48667,                0.50574,                 0.3156,                 0.5566,                0.56157,                0.06402,                 0.0001,                 0.0001,                 0.0001
                     53,                0.84322,                0.48787,                0.13152,                0.62189,                0.49036,                0.50776,                0.31673,                0.55587,                0.56164,                0.06394,                 0.0001,                 0.0001,                 0.0001
                     54,                0.83628,                0.49107,                0.13236,                0.62871,                0.48967,                0.51042,                0.31874,                0.55426,                0.56199,                0.06408,                 0.0001,                 0.0001,                 0.0001
                     55,                0.83406,                0.49198,                0.12881,                0.63305,                0.49137,                0.51394,                0.32101,                0.55375,                0.56136,                0.06404,                 0.0001,                 0.0001,                 0.0001
                     56,                0.81822,                0.49476,                0.12346,                 0.6319,                0.49506,                0.51591,                 0.3222,                0.55219,                0.56191,                0.06389,                 0.0001,                 0.0001,                 0.0001
                     57,                0.82478,                 0.4926,                 0.1263,                0.63351,                0.49534,                0.51578,                0.32218,                0.55019,                0.56204,                 0.0632,                 0.0001,                 0.0001,                 0.0001
                     58,                 0.8281,                0.48998,                0.12694,                0.63934,                0.49805,                0.51858,                0.32429,                0.55011,                0.56035,                0.06368,                 0.0001,                 0.0001,                 0.0001
                     59,                0.82433,                0.49269,                0.12469,                0.63776,                 0.4968,                0.51716,                0.32319,                0.54907,                0.56042,                0.06335,                 0.0001,                 0.0001,                 0.0001
                     60,                0.82251,                0.49171,                0.12607,                0.63548,                0.50068,                0.51815,                0.32324,                0.54776,                0.56065,                0.06296,                 0.0001,                 0.0001,                 0.0001
                     61,                 0.8132,                0.49151,                0.12469,                0.63529,                0.49869,                0.51821,                0.32357,                0.54723,                0.55955,                0.06241,                 0.0001,                 0.0001,                 0.0001
                     62,                 0.8071,                0.49268,                0.12202,                0.63832,                0.49879,                0.52069,                0.32586,                0.54596,                0.55974,                0.06226,                 0.0001,                 0.0001,                 0.0001
                     63,                0.80991,                0.49121,                0.12324,                0.64684,                 0.4972,                0.52026,                0.32578,                0.54536,                0.56018,                0.06208,                 0.0001,                 0.0001,                 0.0001
                     64,                0.80782,                0.49086,                0.12102,                0.64189,                0.50109,                0.52204,                0.32692,                0.54477,                0.55978,                0.06198,                 0.0001,                 0.0001,                 0.0001
                     65,                0.80615,                0.49247,                0.12053,                0.64786,                0.49947,                0.52294,                0.32802,                0.54308,                0.56111,                0.06156,                 0.0001,                 0.0001,                 0.0001
                     66,                 0.8079,                 0.4897,                0.12165,                0.64566,                0.50368,                 0.5255,                0.32905,                0.54288,                0.56002,                0.06142,                 0.0001,                 0.0001,                 0.0001
                     67,                0.81218,                0.48929,                0.12398,                0.64219,                0.50295,                  0.525,                0.32859,                 0.5423,                0.55957,                0.06156,                 0.0001,                 0.0001,                 0.0001
                     79,                 0.7773,                0.48918,                0.11472,                0.65075,                0.51706,                0.53549,                0.33653,                0.53377,                0.55702,                0.05967,                 0.0001,                 0.0001,                 0.0001
                     80,                0.79949,                0.48481,                0.11918,                0.64909,                0.51818,                0.53638,                0.33688,                0.53284,                0.55728,                0.05936,                 0.0001,                 0.0001,                 0.0001
                     81,                0.78262,                0.48704,                0.11555,                0.65173,                 0.5198,                0.53819,                0.33724,                0.53277,                0.55645,                0.05915,                 0.0001,                 0.0001,                 0.0001
                     82,                0.78127,                0.49056,                0.11557,                0.65105,                0.52119,                0.53895,                0.33827,                0.53219,                0.55512,                0.05871,                 0.0001,                 0.0001,                 0.0001
                     83,                0.78368,                0.48744,                0.11707,                0.65712,                0.51945,                0.54092,                0.33957,                0.53103,                0.55539,                0.05929,                 0.0001,                 0.0001,                 0.0001
                     84,                0.78081,                0.48967,                0.11584,                0.65935,                0.52019,                0.54105,                 0.3403,                0.53197,                 0.5546,                0.05942,                 0.0001,                 0.0001,                 0.0001
                     85,                0.78783,                0.48608,                0.11529,                0.66249,                0.52012,                0.54209,                0.34075,                0.53026,                0.55568,                0.05926,                 0.0001,                 0.0001,                 0.0001
                     86,                 0.7839,                0.48796,                0.11674,                0.65591,                0.52235,                 0.5439,                 0.3412,                0.52886,                0.55656,                 0.0587,                 0.0001,                 0.0001,                 0.0001
                     87,                0.78545,                0.48594,                0.11614,                0.65372,                0.52417,                0.54383,                0.34151,                0.52826,                0.55689,                0.05853,                 0.0001,                 0.0001,                 0.0001
                     88,                0.78448,                0.48592,                0.11502,                0.65628,                0.52186,                0.54272,                0.34096,                0.52766,                0.55661,                0.05892,                 0.0001,                 0.0001,                 0.0001
                     89,                0.77184,                0.48795,                0.11275,                0.66066,                0.52078,                0.54356,                0.34154,                0.52776,                0.55608,                0.05913,                 0.0001,                 0.0001,                 0.0001
                     90,                0.77215,                0.48783,                0.11351,                 0.6556,                0.52446,                0.54444,                0.34241,                0.52717,                0.55589,                 0.0591,                 0.0001,                 0.0001,                 0.0001
                     91,                0.77116,                 0.4883,                0.11252,                0.65261,                0.52824,                0.54576,                0.34343,                0.52753,                0.55538,                0.05914,                 0.0001,                 0.0001,                 0.0001
                     92,                0.76651,                0.48756,                0.11129,                0.65167,                0.52763,                0.54537,                0.34356,                0.52561,                0.55692,                0.05874,                 0.0001,                 0.0001,                 0.0001
                     93,                0.76873,                0.48766,                0.11246,                0.65133,                0.52596,                0.54716,                 0.3443,                0.52609,                0.55636,                0.05895,                 0.0001,                 0.0001,                 0.0001
                     94,                0.76924,                0.48512,                0.11043,                0.65471,                0.52713,                0.54756,                0.34434,                0.52606,                0.55576,                0.05851,                 0.0001,                 0.0001,                 0.0001
                     95,                0.76825,                 0.4859,                 0.1113,                0.64951,                0.52713,                0.54633,                0.34358,                0.52462,                0.55668,                0.05821,                 0.0001,                 0.0001,                 0.0001
                     96,                0.76821,                0.48592,                0.11125,                0.65228,                0.52585,                0.54513,                0.34226,                0.52596,                0.55538,                0.05822,                 0.0001,                 0.0001,                 0.0001
                     97,                0.76418,                0.48708,                0.10989,                0.65435,                0.52482,                0.54576,                0.34243,                0.52472,                0.55613,                0.05833,                 0.0001,                 0.0001,                 0.0001
                     98,                0.76369,                0.48637,                0.10988,                0.65771,                0.52615,                 0.5463,                0.34337,                 0.5245,                0.55639,                0.05801,                 0.0001,                 0.0001,                 0.0001
                     99,                0.77276,                0.48525,                0.11263,                0.65567,                0.52249,                0.54622,                0.34403,                0.52359,                0.55651,                0.05765,                 0.0001,                 0.0001,                 0.0001
                    100,                0.76501,                0.48431,                0.11044,                0.65007,                0.52635,                0.54669,                0.34424,                0.52253,                0.55684,                 0.0572,                 0.0001,                 0.0001,                 0.0001
                    101,                0.76263,                0.48711,                0.11237,                0.65424,                0.52863,                 0.5492,                0.34628,                0.52334,                0.55574,                0.05753,                 0.0001,                 0.0001,                 0.0001
                    102,                 0.7692,                 0.4845,                0.11131,                0.65599,                0.52757,                0.54937,                0.34646,                0.52276,                0.55575,                0.05722,                 0.0001,                 0.0001,                 0.0001
                    103,                 0.7707,                0.48316,                0.11358,                0.65739,                0.52869,                0.54909,                0.34599,                 0.5226,                0.55582,                0.05738,                 0.0001,                 0.0001,                 0.0001
                    104,                0.76366,                0.48407,                0.11091,                0.65579,                0.52908,                0.54957,                0.34639,                0.52282,                0.55494,                0.05749,                 0.0001,                 0.0001,                 0.0001
                    105,                0.76266,                0.48342,                0.11049,                0.65172,                0.53369,                0.55013,                0.34736,                0.52163,                0.55545,                0.05711,                 0.0001,                 0.0001,                 0.0001
                    106,                 0.7563,                0.48556,                0.10924,                0.65674,                0.53441,                0.55201,                0.34812,                0.52134,                0.55547,                0.05704,                 0.0001,                 0.0001,                 0.0001
                    107,                0.75501,                0.48652,                0.10796,                0.65409,                0.53693,                0.55341,                0.34954,                0.52141,                0.55531,                0.05736,                 0.0001,                 0.0001,                 0.0001
                    108,                0.74605,                0.48825,                0.10443,                 0.6582,                0.53325,                0.55405,                0.35005,                0.52052,                0.55517,                0.05724,                 0.0001,                 0.0001,                 0.0001
                    109,                0.75643,                0.48654,                 0.1083,                0.65776,                0.53542,                0.55447,                0.35025,                0.52068,                0.55528,                0.05704,                 0.0001,                 0.0001,                 0.0001
                    110,                0.74117,                0.48756,                0.10382,                0.65561,                0.53651,                0.55372,                0.34971,                 0.5207,                0.55484,                0.05694,                 0.0001,                 0.0001,                 0.0001
                    111,                0.75499,                0.48432,                0.10748,                0.65982,                0.53671,                0.55528,                0.35063,                0.51964,                0.55467,                0.05683,                 0.0001,                 0.0001,                 0.0001
                    112,                0.76048,                0.48304,                0.11001,                0.66101,                0.53591,                 0.5544,                 0.3499,                0.51919,                0.55517,                0.05689,                 0.0001,                 0.0001,                 0.0001
                    113,                0.74945,                0.48404,                0.10662,                0.65522,                0.53556,                0.55299,                0.34851,                0.51964,                0.55459,                0.05721,                 0.0001,                 0.0001,                 0.0001
                    114,                0.75175,                0.48324,                0.10762,                0.65523,                0.53505,                 0.5537,                0.34879,                 0.5197,                0.55493,                0.05743,                 0.0001,                 0.0001,                 0.0001
                    115,                 0.7521,                0.48462,                0.10757,                0.65951,                0.53285,                0.55404,                0.34885,                 0.5198,                 0.5543,                0.05738,                 0.0001,                 0.0001,                 0.0001
                    116,                0.75069,                0.48376,                0.10701,                0.66335,                 0.5343,                0.55456,                0.34916,                0.51945,                0.55476,                0.05717,                 0.0001,                 0.0001,                 0.0001
                    117,                0.74736,                 0.4845,                0.10578,                0.66243,                0.53478,                 0.5532,                0.34862,                0.51939,                0.55458,                0.05743,                 0.0001,                 0.0001,                 0.0001
                    118,                0.75007,                0.48139,                0.10814,                0.65888,                0.53626,                0.55274,                0.34804,                 0.5195,                0.55461,                0.05703,                 0.0001,                 0.0001,                 0.0001
                    119,                0.75451,                0.48307,                0.10729,                0.65855,                0.53845,                0.55494,                 0.3494,                0.51918,                0.55417,                0.05707,                 0.0001,                 0.0001,                 0.0001
                    120,                 0.7402,                0.48414,                 0.1035,                 0.6548,                0.53556,                0.55437,                0.34997,                0.51861,                0.55562,                0.05672,                 0.0001,                 0.0001,                 0.0001
                    121,                0.74713,                0.48396,                0.10531,                0.65749,                0.53288,                0.55282,                0.34925,                0.51747,                0.55665,                0.05667,                 0.0001,                 0.0001,                 0.0001
                    122,                0.74961,                0.48153,                0.10613,                0.65877,                0.53304,                0.55196,                0.34919,                0.51756,                0.55716,                0.05636,                 0.0001,                 0.0001,                 0.0001
                    123,                0.75442,                0.47977,                0.10739,                0.66203,                0.53559,                0.55457,                0.35047,                 0.5183,                0.55538,                0.05646,                 0.0001,                 0.0001,                 0.0001
                    124,                0.74298,                0.48201,                0.10452,                0.66399,                0.53754,                0.55744,                0.35149,                0.51847,                0.55438,                0.05645,                 0.0001,                 0.0001,                 0.0001
                    125,                0.74318,                0.48194,                0.10571,                 0.6593,                0.53898,                0.55812,                0.35278,                0.51784,                0.55559,                0.05688,                 0.0001,                 0.0001,                 0.0001
                    126,                 0.7406,                0.48178,                 0.1046,                0.66784,                0.53397,                0.55924,                 0.3527,                0.51742,                0.55536,                0.05663,                 0.0001,                 0.0001,                 0.0001
                    127,                0.74285,                0.48112,                 0.1074,                0.66317,                0.53697,                0.55838,                0.35232,                0.51719,                0.55511,                0.05685,                 0.0001,                 0.0001,                 0.0001
                    128,                0.74161,                0.48106,                0.10433,                0.66695,                0.53329,                0.55845,                0.35292,                 0.5165,                0.55543,                 0.0565,                 0.0001,                 0.0001,                 0.0001
                    129,                0.73601,                0.48266,                0.10216,                0.66563,                0.53503,                0.55741,                0.35273,                0.51688,                0.55547,                 0.0567,                 0.0001,                 0.0001,                 0.0001
                    130,                0.73133,                0.48285,                0.10246,                0.66771,                0.53804,                0.55812,                0.35306,                0.51604,                0.55567,                0.05621,                 0.0001,                 0.0001,                 0.0001
                    131,                0.74064,                0.48134,                0.10599,                0.66723,                0.53368,                0.55681,                0.35254,                0.51528,                0.55579,                0.05671,                 0.0001,                 0.0001,                 0.0001
                    132,                0.74478,                0.47908,                 0.1052,                0.66976,                   0.54,                0.56051,                0.35465,                0.51616,                0.55457,                0.05675,                 0.0001,                 0.0001,                 0.0001
                    133,                 0.7478,                0.48227,                0.10681,                0.66488,                0.54191,                0.56028,                  0.355,                0.51485,                0.55611,                0.05634,                 0.0001,                 0.0001,                 0.0001
                    134,                0.74726,                0.47986,                0.10702,                0.66876,                 0.5404,                0.55923,                0.35414,                0.51422,                0.55608,                0.05599,                 0.0001,                 0.0001,                 0.0001
                    135,                0.74142,                0.47847,                0.10514,                0.66561,                0.54314,                0.55825,                0.35365,                0.51394,                0.55547,                 0.0559,                 0.0001,                 0.0001,                 0.0001
                    136,                0.73567,                0.48245,                0.10355,                 0.6695,                0.54149,                0.55911,                0.35379,                0.51394,                0.55443,                0.05575,                 0.0001,                 0.0001,                 0.0001
                    137,                0.72727,                 0.4827,                0.10237,                0.66928,                0.54133,                0.55909,                0.35358,                0.51418,                0.55409,                0.05645,                 0.0001,                 0.0001,                 0.0001
                    138,                0.73702,                0.47725,                0.10231,                0.66664,                0.54114,                0.55845,                0.35281,                0.51388,                0.55523,                0.05599,                 0.0001,                 0.0001,                 0.0001
                    139,                0.73953,                0.47967,                0.10319,                0.66119,                0.54528,                0.55902,                0.35318,                0.51337,                0.55456,                0.05634,                 0.0001,                 0.0001,                 0.0001
                    140,                0.73704,                 0.4801,                0.10506,                0.66155,                0.54416,                0.55816,                0.35328,                 0.5125,                0.55472,                0.05639,                 0.0001,                 0.0001,                 0.0001
                    141,                0.73019,                0.48109,                0.10187,                0.67163,                0.54152,                0.56011,                0.35429,                  0.512,                0.55417,                0.05629,                 0.0001,                 0.0001,                 0.0001
                    142,                0.73584,                0.47737,                0.10285,                0.66976,                0.54157,                0.55985,                  0.354,                0.51168,                0.55473,                0.05648,                 0.0001,                 0.0001,                 0.0001
                    143,                0.73288,                0.47967,                0.10289,                0.66625,                  0.544,                0.55976,                0.35464,                0.51128,                 0.5552,                0.05602,                 0.0001,                 0.0001,                 0.0001
                    144,                0.73144,                0.47801,                0.10172,                0.66711,                0.54417,                0.56104,                0.35639,                0.51102,                0.55453,                0.05613,                 0.0001,                 0.0001,                 0.0001
                    145,                0.73398,                0.48242,                0.10177,                0.66831,                0.54536,                0.56297,                0.35768,                 0.5115,                0.55364,                0.05663,                 0.0001,                 0.0001,                 0.0001
                    146,                0.73809,                0.47696,                0.10512,                0.67264,                0.54332,                0.56269,                0.35672,                0.51085,                0.55432,                0.05661,                 0.0001,                 0.0001,                 0.0001
                    147,                0.72959,                0.48074,                0.10132,                0.67491,                0.54236,                0.56203,                0.35622,                0.51022,                0.55436,                0.05632,                 0.0001,                 0.0001,                 0.0001
                    148,                0.73004,                0.47782,                0.10338,                0.67755,                0.54134,                0.56144,                0.35584,                0.50983,                0.55435,                0.05643,                 0.0001,                 0.0001,                 0.0001
                    149,                0.72918,                0.47822,                0.10064,                0.67238,                0.54367,                 0.5624,                0.35676,                0.51073,                0.55423,                0.05591,                 0.0001,                 0.0001,                 0.0001
                    150,                 0.7335,                0.47663,                0.10429,                0.66676,                0.54597,                0.56219,                 0.3575,                0.51054,                0.55453,                0.05578,                 0.0001,                 0.0001,                 0.0001
                    151,                0.72723,                0.47828,                0.10196,                0.66798,                0.54804,                0.56411,                0.35795,                0.51022,                0.55515,                0.05558,                 0.0001,                 0.0001,                 0.0001
                    152,                0.72911,                0.47745,                0.10198,                 0.6654,                0.54822,                0.56461,                0.35818,                0.51017,                0.55436,                0.05592,                 0.0001,                 0.0001,                 0.0001
                    153,                0.72751,                0.47636,                0.09979,                0.66858,                0.54952,                 0.5652,                0.35867,                0.51108,                0.55347,                0.05616,                 0.0001,                 0.0001,                 0.0001
                    154,                0.72931,                0.47699,                0.10255,                0.66643,                0.54861,                0.56399,                0.35818,                0.51136,                0.55323,                0.05613,                 0.0001,                 0.0001,                 0.0001
                    155,                0.71998,                0.47709,                0.10106,                0.66497,                 0.5494,                0.56533,                0.35919,                0.51076,                0.55345,                0.05607,                 0.0001,                 0.0001,                 0.0001
                    156,                0.73006,                0.47592,                 0.1036,                0.66402,                 0.5481,                0.56585,                0.35908,                0.51055,                0.55367,                0.05602,                 0.0001,                 0.0001,                 0.0001
                    157,                0.72498,                0.47589,                0.10111,                 0.6626,                0.54677,                0.56374,                0.35803,                0.51025,                0.55383,                0.05619,                 0.0001,                 0.0001,                 0.0001
                    158,                0.72648,                0.47808,                 0.1003,                0.66128,                0.54814,                0.56513,                 0.3588,                0.50964,                0.55393,                0.05628,                 0.0001,                 0.0001,                 0.0001
                    159,                0.72407,                0.47794,                0.09923,                0.66313,                0.55028,                0.56604,                0.35929,                0.50961,                0.55307,                0.05638,                 0.0001,                 0.0001,                 0.0001
                    160,                0.72699,                0.47579,                0.09956,                0.66088,                0.54878,                0.56436,                0.35897,                0.50843,                0.55407,                0.05598,                 0.0001,                 0.0001,                 0.0001
                    161,                0.72894,                0.47477,                0.10302,                0.66307,                0.54873,                0.56409,                0.35843,                 0.5076,                0.55531,                0.05548,                 0.0001,                 0.0001,                 0.0001
                    162,                0.73307,                 0.4771,                0.10145,                0.66825,                0.54843,                0.56592,                 0.3592,                0.50873,                0.55408,                0.05585,                 0.0001,                 0.0001,                 0.0001
                    163,                0.71609,                 0.4801,                 0.0986,                0.66787,                0.54762,                0.56597,                0.36025,                0.50812,                0.55423,                0.05529,                 0.0001,                 0.0001,                 0.0001
                    164,                0.71834,                0.47765,                0.09872,                0.67183,                0.54821,                 0.5673,                0.36076,                 0.5083,                0.55422,                0.05591,                 0.0001,                 0.0001,                 0.0001
                    165,                0.71511,                0.47732,                0.09792,                0.67438,                0.54793,                0.56772,                0.36105,                 0.5076,                0.55522,                0.05581,                 0.0001,                 0.0001,                 0.0001
